pipeline,tarea,estado,mensaje,detalle_error,timestamp,_fec_registro
SILVER,Silver_TB_MOV_FINANCIEROS,OK,Ejecutado correctamente,,2026-04-07 12:13:01,2026-04-07 12:14:51
SILVER,Silver_TB_MOV_FINANCIEROS,OK,Ejecutado correctamente,,2026-04-07 11:15:39,2026-04-07 11:17:26
SILVER,Silver_TB_COMISIONES_LOG,OK,Ejecutado correctamente,,2026-04-07 11:17:10,2026-04-07 11:17:26
SILVER,Silver_TB_SUCURSALES_RED,OK,Ejecutado correctamente,,2026-04-07 11:16:36,2026-04-07 11:17:26
SILVER,Silver_TB_SUCURSALES_RED,OK,Ejecutado correctamente,,2026-04-07 12:14:12,2026-04-07 12:14:51
SILVER,Silver_TB_COMISIONES_LOG,OK,Ejecutado correctamente,,2026-04-07 12:14:37,2026-04-07 12:14:51
SILVER,Silver_TB_CLIENTES_CORE,OK,Ejecutado correctamente,,2026-04-07 12:11:45,2026-04-07 12:14:51
SILVER,Silver_TB_PRODUCTOS_CAT,OK,Ejecutado correctamente,,2026-04-07 12:12:02,2026-04-07 12:14:51
SILVER,Silver_TB_PRODUCTOS_CAT,OK,Ejecutado correctamente,,2026-04-07 11:14:35,2026-04-07 11:17:26
SILVER,Silver_TB_CLIENTES_CORE,OK,Ejecutado correctamente,,2026-04-07 11:14:17,2026-04-07 11:17:26
SILVER,Silver_TB_OBLIGACIONES,OK,Ejecutado correctamente,,2026-04-07 11:16:17,2026-04-07 11:17:26
SILVER,Silver_TB_OBLIGACIONES,OK,Ejecutado correctamente,,2026-04-07 12:13:55,2026-04-07 12:14:51
