pipeline,tarea,estado,mensaje,detalle_error,timestamp,_fec_registro
BRONZE,Ingesta_tb_mov_financieros,OK,Ejecutado correctamente,,2026-04-07 12:09:39,2026-04-07 12:10:09
BRONZE,Ingesta_tb_mov_financieros,OK,Ejecutado correctamente,,2026-04-07 18:38:22,2026-04-07 18:38:49
BRONZE,Ingesta_tb_mov_financieros,OK,Ejecutado correctamente,,2026-04-07 17:25:21,2026-04-07 17:25:55
BRONZE,Ingesta_tb_comisiones_log,OK,Ejecutado correctamente,,2026-04-07 17:25:53,2026-04-07 17:25:55
BRONZE,Ingesta_tb_sucursales_red,OK,Ejecutado correctamente,,2026-04-07 17:25:43,2026-04-07 17:25:55
BRONZE,Ingesta_tb_sucursales_red,OK,Ejecutado correctamente,,2026-04-07 18:38:42,2026-04-07 18:38:49
BRONZE,Ingesta_tb_sucursales_red,OK,Ejecutado correctamente,,2026-04-07 12:10:00,2026-04-07 12:10:09
BRONZE,Ingesta_tb_comisiones_log,OK,Ejecutado correctamente,,2026-04-07 12:10:07,2026-04-07 12:10:09
BRONZE,Ingesta_tb_comisiones_log,OK,Ejecutado correctamente,,2026-04-07 18:38:48,2026-04-07 18:38:49
BRONZE,Ingesta_tb_clientes_core,OK,Ejecutado correctamente,,2026-04-07 17:24:42,2026-04-07 17:25:55
BRONZE,Ingesta_tb_clientes_core,OK,Ejecutado correctamente,,2026-04-07 12:09:02,2026-04-07 12:10:09
BRONZE,Ingesta_tb_clientes_core,OK,Ejecutado correctamente,,2026-04-07 18:37:49,2026-04-07 18:38:49
BRONZE,Ingesta_tb_productos_cat,OK,Ejecutado correctamente,,2026-04-07 17:25:02,2026-04-07 17:25:55
BRONZE,Ingesta_tb_productos_cat,OK,Ejecutado correctamente,,2026-04-07 18:38:07,2026-04-07 18:38:49
BRONZE,Ingesta_tb_productos_cat,OK,Ejecutado correctamente,,2026-04-07 12:09:24,2026-04-07 12:10:09
BRONZE,Ingesta_tb_obligaciones,OK,Ejecutado correctamente,,2026-04-07 12:09:47,2026-04-07 12:10:09
BRONZE,Ingesta_tb_obligaciones,OK,Ejecutado correctamente,,2026-04-07 18:38:29,2026-04-07 18:38:49
BRONZE,Ingesta_tb_obligaciones,OK,Ejecutado correctamente,,2026-04-07 17:25:29,2026-04-07 17:25:55
