pipeline,tarea,estado,mensaje,detalle_error,timestamp,_fec_registro
GOLD,FACT_TRANSACCIONES,OK,Ejecutado correctamente,,2026-04-07 17:32:39,2026-04-07 22:33:24
GOLD,FACT_TRANSACCIONES,OK,Ejecutado correctamente,,2026-04-07 18:45:02,2026-04-07 23:45:47
GOLD,FACT_TRANSACCIONES,OK,Ejecutado correctamente,,2026-04-07 12:17:02,2026-04-07 17:17:55
GOLD,FACT_TRANSACCIONES,OK,Ejecutado correctamente,,2026-04-07 11:34:09,2026-04-07 16:34:48
GOLD,KPI_DIARIO_CARTERA,OK,Ejecutado correctamente,,2026-04-07 18:45:38,2026-04-07 23:45:47
GOLD,LINAJE_DATOS,OK,Ejecutado correctamente,,2026-04-07 18:45:46,2026-04-07 23:45:47
GOLD,KPI_DIARIO_CARTERA,OK,Ejecutado correctamente,,2026-04-07 17:33:15,2026-04-07 22:33:24
GOLD,LINAJE_DATOS,OK,Ejecutado correctamente,,2026-04-07 17:33:23,2026-04-07 22:33:24
GOLD,KPI_DIARIO_CARTERA,OK,Ejecutado correctamente,,2026-04-07 12:17:44,2026-04-07 17:17:55
GOLD,LINAJE_DATOS,OK,Ejecutado correctamente,,2026-04-07 12:17:54,2026-04-07 17:17:55
GOLD,KPI_DIARIO_CARTERA,OK,Ejecutado correctamente,,2026-04-07 11:34:40,2026-04-07 16:34:48
GOLD,LINAJE_DATOS,OK,Ejecutado correctamente,,2026-04-07 11:34:46,2026-04-07 16:34:48
GOLD,FACT_RENTABILIDAD,OK,Ejecutado correctamente,,2026-04-07 17:33:02,2026-04-07 22:33:24
GOLD,FACT_RENTABILIDAD,OK,Ejecutado correctamente,,2026-04-07 12:17:32,2026-04-07 17:17:55
GOLD,FACT_RENTABILIDAD,OK,Ejecutado correctamente,,2026-04-07 18:45:26,2026-04-07 23:45:47
GOLD,FACT_RENTABILIDAD,OK,Ejecutado correctamente,,2026-04-07 11:34:28,2026-04-07 16:34:48
GOLD,DIM_GEOGRAFIA,OK,Ejecutado correctamente,,2026-04-07 18:44:38,2026-04-07 23:45:47
GOLD,DIM_GEOGRAFIA,OK,Ejecutado correctamente,,2026-04-07 11:33:47,2026-04-07 16:34:48
GOLD,DIM_PRODUCTOS,OK,Ejecutado correctamente,,2026-04-07 12:16:25,2026-04-07 17:17:55
GOLD,DIM_GEOGRAFIA,OK,Ejecutado correctamente,,2026-04-07 12:16:36,2026-04-07 17:17:55
GOLD,DIM_PRODUCTOS,OK,Ejecutado correctamente,,2026-04-07 18:44:28,2026-04-07 23:45:47
GOLD,DIM_PRODUCTOS,OK,Ejecutado correctamente,,2026-04-07 11:33:36,2026-04-07 16:34:48
GOLD,DIM_GEOGRAFIA,OK,Ejecutado correctamente,,2026-04-07 17:32:16,2026-04-07 22:33:24
GOLD,DIM_PRODUCTOS,OK,Ejecutado correctamente,,2026-04-07 17:32:06,2026-04-07 22:33:24
GOLD,DIM_CLIENTES,OK,Ejecutado correctamente,,2026-04-07 11:33:28,2026-04-07 16:34:48
GOLD,FACT_CARTERA,OK,Ejecutado correctamente,,2026-04-07 18:45:13,2026-04-07 23:45:47
GOLD,DIM_CLIENTES,OK,Ejecutado correctamente,,2026-04-07 18:44:15,2026-04-07 23:45:47
GOLD,FACT_CARTERA,OK,Ejecutado correctamente,,2026-04-07 17:32:49,2026-04-07 22:33:24
GOLD,DIM_CLIENTES,OK,Ejecutado correctamente,,2026-04-07 17:31:54,2026-04-07 22:33:24
GOLD,FACT_CARTERA,OK,Ejecutado correctamente,,2026-04-07 12:17:17,2026-04-07 17:17:55
GOLD,FACT_CARTERA,OK,Ejecutado correctamente,,2026-04-07 11:34:17,2026-04-07 16:34:48
GOLD,DIM_CLIENTES,OK,Ejecutado correctamente,,2026-04-07 12:16:10,2026-04-07 17:17:55
GOLD,DIM_CANAL,OK,Ejecutado correctamente,,2026-04-07 11:33:56,2026-04-07 16:34:48
GOLD,DIM_CANAL,OK,Ejecutado correctamente,,2026-04-07 17:32:24,2026-04-07 22:33:24
GOLD,DIM_CANAL,OK,Ejecutado correctamente,,2026-04-07 18:44:46,2026-04-07 23:45:47
GOLD,DIM_CANAL,OK,Ejecutado correctamente,,2026-04-07 12:16:44,2026-04-07 17:17:55
